UPI Remitter Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
Ujjivan Small Finance Bank,2024,5,45.1,93.75%,5.64%,0.61%,0.22,70.45%
City Union Bank,2024,5,41.63,92.90%,6.73%,0.37%,0.14,99.12%
Punjab and Sind Bank,2024,5,38.16,92.76%,6.89%,0.36%,0.19,82.65%
Tamilnad Mercantile Bank,2024,5,38.01,92.38%,7.19%,0.44%,0.12,79.30%
Equitas Bank,2024,5,33.53,92.55%,7.18%,0.27%,0.15,85.61%
Andhra Pradesh Grameena Vikas Bank,2024,5,29.8,85.93%,12.05%,2.02%,0.19,69.54%
Kerala Gramin Bank,2024,5,29.05,92.97%,5.66%,1.37%,0.16,62.06%
Pragathi Krishna Gramin Bank,2024,5,27.76,89.64%,7.36%,3.00%,0.4,55%
DBS Bank,2024,5,27.4,94.26%,5.59%,0.16%,0.09,72.20%
Maharashtra Gramin Bank,2024,5,26.27,86.04%,11.57%,2.39%,0.12,57.65%
Rajasthan Marudhara Gramin Bank,2024,5,25.55,86.55%,11.29%,2.16%,0.23,37%
Standard Chartered,2024,5,25.23,96.94%,2.87%,0.18%,0.07,88.23%
Saraswat Bank,2024,5,23.75,95.17%,4.19%,0.64%,0.09,71.49%
Baroda U.P. Bank,2024,5,23.63,78.17%,9.63%,12.20%,0.73,18%
ESAF Small Finance Bank Ltd,2024,5,22.91,95.23%,4.54%,0.23%,0.07,99%
Fincare Small Finance Bank,2024,5,21.54,85.62%,13.92%,0.46%,0.1,86.35%
Sarva Haryana Gramin Bank,2024,5,20.85,86.11%,12.06%,1.83%,0.2,39.45%
CITI Bank,2024,5,20.03,96.49%,3.14%,0.37%,0.07,99.11%
Andhra Pragathi Grameena Bank,2024,5,18.23,83.62%,13.00%,3.38%,0.28,22.98%
RBL,2024,5,16.38,89.18%,9.91%,0.92%,0.09,54.47%
State Bank of India,2022,11,1951.85,92.82%,6.30%,0.88%,8.51,80.40%
HDFC Bank,2022,11,649.64,94.68%,5.16%,0.16%,2.29,99.46%
Bank of Baroda,2022,11,475.43,93.69%,6.17%,0.15%,1.69,99.38%
Union Bank of India,2022,11,447.27,92.47%,7.07%,0.46%,2.04,78.57%
ICICI Bank,2022,11,396.06,94.60%,4.75%,0.65%,2.91,67.84%
Axis Bank,2022,11,384.42,96.02%,3.83%,0.15%,2.04,67.34%
Paytm Payments Bank,2022,11,364.0,96.01%,3.82%,0.17%,1.66,93.60%
Canara Bank,2022,11,332.82,92.47%,6.32%,1.21%,1.34,72.91%
Punjab National Bank,2022,11,328.34,92.48%,5.61%,1.90%,1.21,77.31%
Kotak Mahindra Bank,2022,11,325.86,94.62%,5.07%,0.31%,1.18,71.21%
Bank of India,2022,11,249.69,94.97%,4.38%,0.65%,1.1,69.29%
Indian Bank,2022,11,188.36,93.72%,5.57%,0.71%,0.98,70.54%
Airtel Payments Bank,2022,11,140.25,81.21%,13.36%,5.43%,1.78,45.26%
Federal Bank,2022,11,122.16,93.88%,5.53%,0.59%,0.94,74.30%
India Post Payment Bank,2022,11,121.93,81.41%,15.23%,3.36%,1.02,73.79%
Central Bank of India,2022,11,117.72,88.09%,8.95%,2.96%,0.47,91.37%
Indian Overseas Bank,2022,11,95.82,93.58%,5.27%,1.15%,0.49,94.66%
IDBI Bank,2022,11,95.5,94.39%,4.27%,1.35%,0.52,75.92%
Bank of Maharashtra,2022,11,87.16,93.61%,4.69%,1.70%,0.87,47.79%
UCO Bank,2022,11,83.44,91.91%,5.84%,2.26%,0.6,94.87%
YES Bank,2022,11,80.19,94.81%,4.34%,0.85%,0.3,93.50%
IndusInd Bank,2022,11,66.86,93.88%,5.68%,0.44%,0.34,80.08%
Karnataka Bank,2022,11,62.76,85.92%,7.53%,6.55%,0.3,83.33%
IDFC First Bank,2022,11,56.3,89.48%,5.99%,4.53%,1.01,29.94%
Fino Payments Bank,2022,11,54.03,81.88%,16.09%,2.03%,0.43,47.55%
Karur Vysya Bank,2022,11,40.64,91.68%,7.13%,1.19%,0.26,56.68%
South Indian Bank,2022,11,31.42,93.95%,5.87%,0.18%,0.24,93.38%
Bandhan Bank,2022,11,31.07,90.25%,6.53%,3.22%,0.11,98.27%
City Union Bank,2022,11,22.51,92.79%,6.28%,0.93%,0.15,64.69%
Equitas Bank,2022,11,21.51,86.38%,13.09%,0.53%,0.1,96.99%
Jammu and Kashmir Bank,2022,11,21.45,87.84%,6.64%,5.52%,0.09,95.31%
Ujjivan Small Finance Bank,2022,11,19.93,89.69%,6.55%,3.76%,0.09,88.48%
AU Small Finance Bank,2022,11,19.43,93.71%,5.94%,0.35%,0.17,62.66%
Maharashtra Gramin Bank,2022,11,19.41,51.76%,42.89%,5.35%,0.09,93.90%
Tamilnad Mercantile Bank,2022,11,18.78,91.64%,7.21%,1.15%,0.23,27.49%
Standard Chartered,2022,11,18.34,95.99%,2.59%,1.42%,0.07,87.00%
Punjab and Sind Bank,2022,11,18.14,88.48%,9.83%,1.68%,0.07,76.50%
CITI Bank,2022,11,17.81,95.45%,4.07%,0.48%,0.06,95.73%
DBS Bank,2022,11,17.33,95.17%,4.73%,0.11%,0.09,53.62%
Pragathi Krishna Gramin Bank,2022,11,15.27,86.54%,12.67%,0.78%,0.2,21.84%
Andhra Pradesh Grameena Vikas Bank,2022,11,14.66,85.56%,12.28%,2.16%,0.12,35.40%
Saraswat Bank,2022,11,14.61,95.83%,3.57%,0.60%,0.04,93.96%
Kerala Gramin Bank,2022,11,12.77,88.69%,10.93%,0.37%,0.09,45.06%
Rajasthan Marudhara Gramin Bank,2022,11,11.61,79.24%,11.94%,8.83%,0.07,94.36%
ESAF Small Finance Bank Ltd,2022,11,11.29,89.50%,9.00%,1.50%,0.1,42.87%
RBL,2022,11,9.68,90.98%,7.19%,1.83%,0.05,87.11%
Andhra Pragathi Grameena Bank,2022,11,9.67,77.93%,17.06%,5.01%,0.1,41.25%
Sarva Haryana Gramin Bank,2022,11,9.11,87.10%,10.98%,1.92%,0.05,99.45%
Baroda U.P. Bank,2022,11,7.82,82.96%,12.50%,4.53%,0.13,35.54%
Baroda Rajasthan Kshetriya Gramin Bank,2022,11,7.4,83.30%,10.93%,5.77%,0.07,43.80%
State Bank of India,2023,11,2861.65,94.81%,4.47%,0.72%,10.71,87.00%
HDFC Bank,2023,11,974.06,96.39%,3.57%,0.04%,2.66,98.00%
Bank of Baroda,2023,11,721.89,95.07%,4.82%,0.11%,2.24,97.00%
Union Bank of India,2023,11,700.46,95.55%,4.03%,0.42%,3.02,78.00%
Punjab National Bank,2023,11,564.71,95.09%,4.47%,0.44%,1.76,98.00%
Kotak Mahindra Bank,2023,11,543.5,94.87%,5.05%,0.08%,1.34,93.00%
Canara Bank,2023,11,527.96,94.11%,5.22%,0.66%,2.23,76.00%
ICICI Bank,2023,11,526.2,96.32%,3.44%,0.23%,1.45,91.00%
Axis Bank,2023,11,512.13,96.38%,3.57%,0.05%,1.25,93.00%
Paytm Payments Bank,2023,11,412.0,96.42%,3.57%,0.01%,0.62,98.00%
Bank of India,2023,11,366.39,92.32%,3.72%,3.96%,3.21,43.00%
Indian Bank,2023,11,317.62,95.18%,4.64%,0.18%,0.92,90.00%
Airtel Payments Bank,2023,11,286.95,91.14%,8.22%,0.64%,1.02,0.00%
India Post Payment Bank,2023,11,226.01,84.48%,13.19%,2.33%,1.17,53.00%
Federal Bank,2023,11,172.99,95.22%,4.21%,0.58%,0.52,83.00%
Central Bank of India,2023,11,165.88,89.27%,8.84%,1.88%,1.82,85.00%
Indian Overseas Bank,2023,11,151.39,94.62%,4.41%,0.98%,0.61,94.00%
UCO Bank,2023,11,139.38,94.08%,5.04%,0.87%,0.58,71.00%
IDBI Bank,2023,11,132.0,93.91%,3.83%,2.26%,1.25,83.00%
Bank of Maharashtra,2023,11,122.25,94.84%,4.75%,0.41%,0.38,88.00%
IndusInd Bank,2023,11,112.0,93.43%,5.86%,0.71%,0.4,94.00%
Fino Payments Bank,2023,11,100.6,89.84%,8.33%,1.83%,0.49,57.00%
Karnataka Bank,2023,11,89.24,94.13%,5.33%,0.55%,0.22,88.00%
YES Bank,2023,11,88.32,95.78%,4.16%,0.06%,0.18,94.00%
IDFC First Bank,2023,11,69.99,93.90%,5.87%,0.22%,0.27,66.00%
Karur Vysya Bank,2023,11,55.13,93.81%,5.54%,0.65%,0.17,89.00%
South Indian Bank,2023,11,45.79,95.52%,4.11%,0.37%,0.09,93.00%
Bandhan Bank,2023,11,43.79,91.71%,6.91%,1.38%,0.16,98.00%
Jammu and Kashmir Bank,2023,11,43.2,91.56%,5.50%,2.94%,0.41,12.00%
Ujjivan Small Finance Bank,2023,11,33.77,93.71%,5.43%,0.86%,0.14,60.00%
City Union Bank,2023,11,33.22,93.96%,5.80%,0.25%,0.09,99.00%
AU Small Finance Bank,2023,11,33.01,95.58%,4.18%,0.25%,0.13,98.00%
Tamilnad Mercantile Bank,2023,11,29.1,94.60%,5.11%,0.29%,0.08,79.00%
Punjab and Sind Bank,2023,11,28.9,93.62%,5.83%,0.55%,0.18,67.00%
Tri O Tech Solutions Private Limited,2023,11,28.43,100.00%,0.00%,0.00%,,
Equitas Bank,2023,11,26.5,92.55%,7.39%,0.06%,0.08,98.00%
Standard Chartered,2023,11,26.22,97.42%,2.23%,0.35%,0.07,75.00%
Kerala Gramin Bank,2023,11,23.92,90.19%,7.84%,1.97%,0.19,54%
DBS Bank,2023,11,23.67,95.97%,3.98%,0.04%,0.06,83.00%
Andhra Pradesh Grameena Vikas Bank,2023,11,23.04,88.90%,10.34%,0.76%,0.07,77.00%
Pragathi Krishna Gramin Bank,2023,11,21.81,92.21%,6.66%,1.13%,0.12,66%
Saraswat Bank,2023,11,20.4,96.37%,3.34%,0.29%,0.07,87.00%
Maharashtra Gramin Bank,2023,11,19.82,86.91%,10.90%,2.19%,0.07,71.00%
CITI Bank,2023,11,18.89,95.62%,3.26%,1.12%,0.07,97%
Baroda U.P. Bank,2023,11,18.78,69.42%,9.05%,21.53%,1.21,13%
ESAF Small Finance Bank Ltd,2023,11,18.18,94.76%,4.90%,0.34%,0.05,97.00%
Rajasthan Marudhara Gramin Bank,2023,11,16.9,89.38%,10.18%,0.45%,0.06,82.00%
RBL,2023,11,14.75,84.95%,7.10%,7.95%,0.23,44.00%
Fincare Small Finance Bank,2023,11,14.66,87.00%,11.11%,1.89%,0.09,60.00%
Sarva Haryana Gramin Bank,2023,11,14.28,89.89%,6.71%,3.40%,0.22,20.00%
State Bank of India,2024,11,4182.13,93.11%,6.32%,0.57%,11.62,95.24%
HDFC Bank,2024,11,1305.92,94.07%,5.83%,0.09%,3.64,98.16%
Bank of Baroda,2024,11,1035.67,92.10%,7.85%,0.04%,2.98,97.92%
Union Bank of India,2024,11,990.08,92.48%,7.29%,0.23%,3.33,79.15%
Punjab National Bank,2024,11,881.89,91.05%,8.85%,0.10%,2.69,98.84%
Kotak Mahindra Bank,2024,11,804.07,90.49%,9.28%,0.23%,2.31,90.77%
Axis Bank,2024,11,764.59,94.20%,5.78%,0.01%,1.93,98.27%
Canara Bank,2024,11,760.29,92.32%,7.25%,0.43%,2.87,79.06%
ICICI Bank,2024,11,651.55,95.26%,4.56%,0.18%,1.65,96.03%
Bank of India,2024,11,497.26,91.80%,6.55%,1.65%,3.73,46.64%
Indian Bank,2024,11,484.6,92.78%,7.05%,0.17%,1.58,84.18%
Airtel Payments Bank,2024,11,471.39,87.28%,11.79%,0.93%,2.74,82.86%
India Post Payment Bank,2024,11,410.33,86.44%,11.98%,1.58%,1.8,68.20%
Indian Overseas Bank,2024,11,232.93,93.11%,6.67%,0.22%,0.88,91.20%
Federal Bank,2024,11,230.2,91.80%,8.01%,0.19%,0.57,97.78%
Central Bank of India,2024,11,223.46,86.59%,12.34%,1.07%,0.9,80.64%
UCO Bank,2024,11,206.37,91.88%,8.02%,0.10%,0.68,89.84%
IndusInd Bank,2024,11,172.82,88.99%,10.73%,0.29%,0.64,88.52%
IDBI Bank,2024,11,171.56,93.05%,6.79%,0.16%,0.57,91.58%
Bank of Maharashtra,2024,11,167.64,92.54%,7.31%,0.15%,0.49,89.66%
Fino Payments Bank,2024,11,161.47,92.82%,7.06%,0.12%,0.69,90.58%
YES Bank,2024,11,155.3,83.24%,16.36%,0.40%,0.52,58.31%
Karnataka Bank,2024,11,122.37,91.67%,7.33%,1.01%,0.56,66.08%
IDFC First Bank,2024,11,93.14,91.39%,8.41%,0.20%,0.16,0.29%
The Jammu And Kashmir Bank,2024,11,76.44,90.29%,5.42%,4.29%,1.42,17.72%
Karur Vysya Bank,2024,11,76.29,92.70%,7.11%,0.19%,0.21,95.76%
Bandhan Bank,2024,11,70.96,93.36%,5.09%,1.55%,0.39,88.49%
AU Small Finance Bank,2024,11,70.55,88.57%,11.23%,0.20%,0.22,97.17%
Tri O Tech Solutions Private Limited,2024,11,67.2,100.00%,0.00%,0.00%,,
The South Indian Bank Limited,2024,11,62.85,94.65%,5.28%,0.07%,0.13,99.31%
Punjab and Sind Bank,2024,11,45.44,91.51%,8.40%,0.10%,0.18,97.14%
Ujjivan Small Finance Bank,2024,11,45.21,94.64%,4.99%,0.38%,0.17,81.70%
City Union Bank,2024,11,44.74,92.56%,7.28%,0.16%,0.1,99.52%
Tamilnad Mercantile Bank,2024,11,42.47,91.84%,7.70%,0.46%,0.13,75.60%
Kerala Gramin Bank,2024,11,39.89,87.74%,6.37%,5.89%,0.74,64.31%
Equitas Bank,2024,11,31.78,91.99%,7.98%,0.03%,0.1,98.07%
Andhra Pradesh Grameena Vikas Bank,2024,11,31.66,82.74%,11.59%,5.67%,0.36,65.41%
Karnataka Gramin Bank,2024,11,30.31,88.07%,8.52%,3.41%,0.38,73%
Baroda U.P. Bank,2024,11,29.74,91.65%,6.65%,1.69%,0.28,44.05%
Jio Payments Bank,2024,11,28.8,87.77%,10.99%,1.24%,0.21,99.25%
DBS Bank,2024,11,28.24,92.03%,7.53%,0.44%,0.11,72%
ESAF Small Finance Bank Ltd,2024,11,27.19,95.50%,4.39%,0.11%,0.08,98.12%
Rajasthan Marudhara Gramin Bank,2024,11,26.47,85.94%,11.80%,2.26%,0.11,81.31%
Standard Chartered,2024,11,25.87,95.57%,3.79%,0.64%,0.08,81%
Maharashtra Gramin Bank,2024,11,25.8,86.35%,12.55%,1.09%,0.11,64%
Saraswat Bank,2024,11,25.49,93.87%,5.99%,0.14%,0.08,87.37%
NSDL Payments Bank,2024,11,24.28,86.08%,12.61%,1.31%,0.2,6.11%
RBL,2024,11,23.47,91.69%,7.95%,0.35%,0.09,63.63%
Andhra Pragathi Grameena Bank,2024,11,21.61,83.33%,10.78%,5.89%,0.38,53.99%
Sarva Haryana Gramin Bank,2024,11,20.09,93.42%,6.14%,0.44%,0.11,68.48%
State Bank of India,2022,10,1972.78,92.21%,6.59%,1.19%,8.78,94.48%
HDFC Bank,2022,10,660.29,94.45%,5.34%,0.22%,0.97,96.96%
Bank of Baroda,2022,10,478.92,93.37%,6.32%,0.30%,0.96,96.10%
Union Bank of India,2022,10,446.71,91.40%,7.44%,1.16%,0.73,73.30%
ICICI Bank,2022,10,401.27,94.75%,4.76%,0.49%,0.91,90.59%
Axis Bank,2022,10,371.17,95.68%,4.28%,0.05%,0.93,92.66%
Paytm Payments Bank,2022,10,362.51,95.98%,4.00%,0.02%,0.98,98.24%
Punjab National Bank,2022,10,333.94,93.61%,5.71%,0.68%,0.82,82.38%
Kotak Mahindra Bank,2022,10,325.73,93.70%,6.13%,0.17%,0.79,79.42%
Canara Bank,2022,10,323.12,93.44%,6.40%,0.16%,0.92,91.97%
Bank of India,2022,10,252.93,94.31%,4.62%,1.07%,0.71,70.67%
Indian Bank,2022,10,185.22,93.46%,5.58%,0.96%,0.8,80.19%
Airtel Payments Bank,2022,10,140.51,77.77%,17.18%,5.05%,0.72,71.61%
Central Bank of India,2022,10,119.96,86.20%,9.42%,4.38%,0.34,33.63%
Federal Bank,2022,10,118.98,94.60%,5.22%,0.18%,0.97,96.56%
India Post Payment Bank,2022,10,114.22,81.27%,16.10%,2.63%,0.81,80.98%
IDBI Bank,2022,10,97.92,94.71%,4.09%,1.20%,0.84,83.61%
Indian Overseas Bank,2022,10,94.16,93.87%,5.20%,0.93%,0.96,95.92%
YES Bank,2022,10,92.51,96.21%,3.62%,0.17%,0.0,0.00%
Bank of Maharashtra,2022,10,88.07,93.60%,5.14%,1.25%,0.91,90.59%
UCO Bank,2022,10,82.78,92.09%,6.14%,1.76%,0.47,46.95%
IndusInd Bank,2022,10,67.0,93.82%,5.82%,0.36%,0.94,93.75%
Karnataka Bank,2022,10,62.54,87.04%,7.32%,5.63%,0.29,29.23%
IDFC First Bank,2022,10,55.62,91.05%,5.26%,3.68%,0.47,46.81%
Fino Payments Bank,2022,10,54.25,82.71%,15.11%,2.18%,0.74,73.71%
Karur Vysya Bank,2022,10,40.45,92.21%,7.44%,0.35%,0.97,96.94%
South Indian Bank,2022,10,30.59,93.64%,6.22%,0.14%,0.96,96.12%
Bandhan Bank,2022,10,30.23,90.43%,7.22%,2.35%,0.92,92.03%
City Union Bank,2022,10,22.2,92.56%,6.56%,0.88%,0.91,90.99%
Equitas Bank,2022,10,22.13,81.26%,13.91%,4.83%,0.45,44.77%
Ujjivan Small Finance Bank,2022,10,19.94,88.35%,6.67%,4.98%,0.59,59.24%
Jammu and Kashmir Bank,2022,10,19.69,90.14%,6.73%,3.14%,0.76,75.74%
AU Small Finance Bank,2022,10,19.57,93.32%,6.25%,0.42%,0.8,79.90%
Punjab and Sind Bank,2022,10,18.58,78.83%,14.05%,7.13%,0.22,22.27%
CITI Bank,2022,10,18.52,95.42%,4.20%,0.38%,0.98,97.54%
Tamilnad Mercantile Bank,2022,10,18.51,91.96%,7.68%,0.36%,0.74,74.23%
Standard Chartered,2022,10,18.42,95.89%,2.74%,1.37%,0.95,94.98%
DBS Bank,2022,10,17.23,94.46%,4.79%,0.75%,0.96,96.03%
Maharashtra Gramin Bank,2022,10,17.07,61.62%,28.36%,10.03%,0.2,19.53%
Andhra Pradesh Grameena Vikas Bank,2022,10,15.18,77.12%,16.65%,6.23%,0.19,19.43%
Pragathi Krishna Gramin Bank,2022,10,15.16,86.80%,12.30%,0.90%,0.84,84.10%
Saraswat Bank,2022,10,15.11,95.46%,4.00%,0.54%,0.83,82.85%
Rajasthan Marudhara Gramin Bank,2022,10,12.45,71.92%,12.81%,15.27%,0.09,8.64%
Kerala Gramin Bank,2022,10,11.85,88.50%,11.14%,0.36%,0.95,95.24%
ESAF Small Finance Bank Ltd,2022,10,10.85,89.61%,8.71%,1.68%,0.87,87.40%
Andhra Pragathi Grameena Bank,2022,10,10.11,73.28%,16.67%,10.04%,0.43,43.37%
RBL,2022,10,9.75,91.83%,7.37%,0.80%,0.89,88.71%
Sarva Haryana Gramin Bank,2022,10,9.22,86.58%,9.20%,4.22%,0.85,85.18%
Baroda Rajasthan Kshetriya Gramin Bank,2022,10,7.84,81.13%,10.56%,8.32%,0.28,27.94%
Baroda U.P. Bank,2022,10,7.82,84.01%,10.99%,5.01%,0.46,46.32%
State Bank of India,2023,10,2930.95,92.62%,4.45%,2.93%,29.12,89.00%
HDFC Bank,2023,10,1005.24,96.26%,3.55%,0.20%,3.23,96.00%
Bank of Baroda,2023,10,746.16,93.72%,5.11%,1.17%,4.89,86.00%
Union Bank of India,2023,10,717.97,94.43%,4.16%,1.41%,4.54,58.00%
Punjab National Bank,2023,10,576.75,94.44%,4.82%,0.74%,2.63,95.00%
ICICI Bank,2023,10,542.07,95.69%,3.65%,0.66%,2.06,85.00%
Axis Bank,2023,10,533.42,96.43%,3.55%,0.01%,1.28,99.00%
Kotak Mahindra Bank,2023,10,553.74,94.24%,4.94%,0.81%,2.15,73.00%
Canara Bank,2023,10,530.06,94.48%,5.09%,0.43%,2.34,85.00%
Paytm Payments Bank,2023,10,441.45,96.35%,3.65%,0.00%,0.69,99.00%
Bank of India,2023,10,373.98,95.79%,3.91%,0.29%,1.45,80.00%
Indian Bank,2023,10,321.72,94.93%,4.91%,0.16%,1.11,91.00%
Airtel Payments Bank,2023,10,285.5,91.12%,8.63%,0.25%,0.97,0.00%
India Post Payment Bank,2023,10,218.45,86.20%,12.46%,1.34%,0.81,81.00%
Federal Bank,2023,10,175.29,95.30%,4.55%,0.15%,0.43,99.00%
Central Bank of India,2023,10,172.01,88.14%,9.57%,2.29%,2.23,83.00%
Indian Overseas Bank,2023,10,151.31,94.84%,4.48%,0.67%,0.69,89.00%
UCO Bank,2023,10,143.86,94.08%,5.17%,0.75%,0.92,54.00%
IDBI Bank,2023,10,136.12,94.64%,3.77%,1.59%,0.94,87.00%
Bank of Maharashtra,2023,10,126.73,94.62%,4.90%,0.48%,0.42,86.00%
IndusInd Bank,2023,10,116.32,92.20%,5.73%,2.06%,0.47,85.00%
Fino Payments Bank,2023,10,105.67,85.45%,11.77%,2.78%,0.41,80.00%
YES Bank,2023,10,94.16,95.49%,4.39%,0.12%,0.2,89.00%
Karnataka Bank,2023,10,90.33,93.61%,5.57%,0.82%,0.27,79.00%
Karur Vysya Bank,2023,10,56.39,93.67%,5.71%,0.62%,0.26,93.00%
Bandhan Bank,2023,10,39.99,89.22%,9.71%,1.07%,0.54,36.00%
South Indian Bank,2023,10,45.73,96.08%,3.84%,0.08%,0.11,80.00%
IDFC First Bank,2023,10,71.76,94.27%,5.54%,0.19%,0.29,68.00%
Jammu and Kashmir Bank,2023,10,41.53,91.11%,6.00%,2.89%,0.3,5.00%
City Union Bank,2023,10,33.89,93.79%,5.98%,0.22%,0.1,99.00%
Ujjivan Small Finance Bank,2023,10,34.85,92.15%,5.57%,2.28%,0.18,64.00%
AU Small Finance Bank,2023,10,33.85,95.45%,4.24%,0.31%,0.16,98.00%
Tamilnad Mercantile Bank,2023,10,29.57,93.69%,5.18%,1.12%,0.12,62.00%
Equitas Bank,2023,10,27.66,92.15%,7.82%,0.03%,0.09,98.00%
Standard Chartered,2023,10,30.0,97.09%,2.50%,0.41%,0.07,79.00%
Punjab and Sind Bank,2023,10,27.65,91.68%,6.34%,1.99%,0.34,37.00%
DBS Bank,2023,10,24.94,95.54%,3.91%,0.55%,0.06,84.00%
Andhra Pradesh Grameena Vikas Bank,2023,10,23.22,88.00%,11.27%,0.74%,0.09,76%
Pragathi Krishna Gramin Bank,2023,10,21.54,91.33%,6.68%,1.99%,0.17,59.00%
CITI Bank,2023,10,19.79,95.28%,3.00%,1.72%,0.06,96.00%
Maharashtra Gramin Bank,2023,10,20.84,86.25%,11.68%,2.07%,0.09,64%
Kerala Gramin Bank,2023,10,22.94,89.93%,7.97%,2.10%,0.18,57.00%
Saraswat Bank,2023,10,20.94,96.38%,3.40%,0.22%,0.06,92.00%
Tri O Tech Solutions Private Limited,2023,10,27.54,100.00%,0.00%,0.00%,0.0,
Rajasthan Marudhara Gramin Bank,2023,10,17.72,87.47%,11.85%,0.68%,0.07,82%
ESAF Small Finance Bank Ltd,2023,10,18.06,94.04%,5.47%,0.49%,0.05,98.00%
Baroda U.P. Bank,2023,10,17.16,80.46%,10.92%,8.62%,0.47,22.00%
Sarva Haryana Gramin Bank,2023,10,14.65,90.62%,6.76%,2.62%,0.16,35.00%
RBL,2023,10,14.89,87.52%,7.32%,5.15%,0.16,61.00%
Andhra Pragathi Grameena Bank,2023,10,12.89,86.03%,12.97%,1.00%,0.05,77.00%
State Bank of India,2024,10,4478.41,92.10%,6.29%,1.61%,17.29,97.03%
HDFC Bank,2024,10,1409.32,94.74%,5.24%,0.02%,4.26,99.84%
Bank of Baroda,2024,10,1116.59,92.54%,7.41%,0.06%,3.5,97.90%
Union Bank of India,2024,10,1043.89,93.16%,6.69%,0.15%,3.77,86.01%
Punjab National Bank,2024,10,955.82,90.92%,8.90%,0.18%,3.29,96.59%
Kotak Mahindra Bank,2024,10,863.59,91.32%,8.58%,0.10%,2.81,87.86%
Axis Bank,2024,10,827.97,94.82%,5.13%,0.06%,2.3,95.70%
Canara Bank,2024,10,795.21,92.55%,7.16%,0.29%,3.31,89.26%
ICICI Bank,2024,10,709.27,95.76%,4.20%,0.04%,1.91,98.23%
Bank of India,2024,10,538.24,93.54%,5.93%,0.54%,2.5,77.09%
Indian Bank,2024,10,513.28,93.41%,6.42%,0.18%,1.87,87.20%
Airtel Payments Bank,2024,10,500.76,89.46%,10.35%,0.19%,2.2,97.31%
India Post Payment Bank,2024,10,434.48,87.51%,11.24%,1.25%,1.84,81.21%
Indian Overseas Bank,2024,10,244.05,91.68%,6.13%,2.19%,1.74,87.54%
Central Bank of India,2024,10,241.37,86.85%,12.22%,0.92%,1.1,84.13%
Federal Bank,2024,10,238.16,92.59%,7.10%,0.31%,0.69,97.63%
UCO Bank,2024,10,220.3,92.16%,7.68%,0.16%,0.85,90.84%
Bank of Maharashtra,2024,10,187.72,92.94%,6.64%,0.42%,0.76,76.93%
IDBI Bank,2024,10,186.35,93.67%,6.15%,0.18%,0.71,92.38%
IndusInd Bank,2024,10,184.41,90.46%,9.32%,0.22%,0.77,90.97%
Fino Payments Bank,2024,10,173.06,92.76%,7.17%,0.07%,0.79,94.78%
YES Bank,2024,10,165.55,85.65%,14.14%,0.21%,0.54,69.34%
Karnataka Bank,2024,10,126.09,92.63%,6.87%,0.50%,0.48,84.10%
IDFC First Bank,2024,10,99.72,92.41%,7.14%,0.44%,0.71,42.29%
Karur Vysya Bank,2024,10,79.62,92.99%,6.72%,0.29%,0.31,93.92%
The Jammu And Kashmir Bank,2024,10,78.02,89.55%,5.02%,5.43%,1.82,13.78%
AU Small Finance Bank,2024,10,76.76,90.05%,9.88%,0.07%,0.29,94.71%
Bandhan Bank,2024,10,74.83,93.87%,5.29%,0.84%,0.34,94.37%
Tri O Tech Solutions Private Limited,2024,10,69.79,100.00%,0.00%,0.00%,,
The South Indian Bank Limited,2024,10,64.32,94.61%,5.25%,0.14%,0.18,98.72%
Ujjivan Small Finance Bank,2024,10,48.67,94.65%,4.98%,0.37%,0.19,86.84%
Punjab and Sind Bank,2024,10,47.91,91.97%,7.83%,0.20%,0.22,92.65%
City Union Bank,2024,10,47.69,93.04%,6.83%,0.14%,0.13,99.75%
Tamilnad Mercantile Bank,2024,10,44.76,92.22%,7.41%,0.38%,0.16,77.33%
Kerala Gramin Bank,2024,10,38.22,92.47%,6.68%,0.85%,0.23,86.93%
Equitas Bank,2024,10,34.5,92.52%,7.45%,0.03%,0.12,97.83%
Andhra Pradesh Grameena Vikas Bank,2024,10,32.92,85.99%,12.62%,1.39%,0.04,0.00%
Baroda U.P. Bank,2024,10,31.14,92.41%,6.10%,1.48%,0.0,0%
Karnataka Gramin Bank,2024,10,30.87,89.60%,8.27%,2.13%,0.36,79.23%
DBS Bank,2024,10,30.17,92.60%,7.25%,0.15%,0.11,87.46%
Maharashtra Gramin Bank,2024,10,29.85,85.61%,12.12%,2.27%,0.18,54%
Rajasthan Marudhara Gramin Bank,2024,10,29.28,84.14%,10.95%,4.91%,0.37,26.64%
Saraswat Bank,2024,10,28.5,94.07%,5.72%,0.21%,0.1,88.12%
Jio Payments Bank,2024,10,28.23,88.59%,10.18%,1.23%,0.26,99%
Standard Chartered,2024,10,27.97,95.45%,3.31%,1.24%,0.17,54%
ESAF Small Finance Bank Ltd,2024,10,27.91,95.35%,4.55%,0.10%,0.1,96.78%
NSDL Payments Bank,2024,10,24.07,84.64%,11.55%,3.81%,0.37,3.94%
RBL,2024,10,23.06,92.36%,7.33%,0.31%,0.1,76.65%
Andhra Pragathi Grameena Bank,2024,10,21.92,78.27%,10.39%,11.34%,0.64,36.42%
Sarva Haryana Gramin Bank,2024,10,21.22,93.23%,6.41%,0.36%,0.09,87.26%
